n,mean_cost,std,seed0,seed1,seed2,c_end
200000,766.767,5.662,nan,nan,nan,1
250000,911.597,11.637,903.4388890843176,928.0547115668359,903.2983774884507,1
300000,1072.090,8.683,1077.7443680245292,1078.7030528922005,1059.8233588236594,1
350000,791.931,9.005,792.3570429428527,802.7402016197153,780.6959293479271,1
400000,885.588,3.473,886.1596963848464,889.5277984639428,881.0775606557949,1
450000,977.953,4.804,979.0852735644795,983.1878066103251,971.5860747871137,1
500000,1075.361,3.676,1074.5203021912114,1071.3393867073296,1080.2244387116432,1
550000,1167.153,7.010,1165.6236780037411,1159.4356437220213,1176.399777498207,1
600000,1261.275,7.783,1272.0879294240035,1257.6489761255336,1254.0879294849517,1
650000,1349.517,8.440,1356.5315313716171,1354.3735961281236,1337.646606455417,1
700000,1430.389,0.345,1430.8140424184057,1430.382187447887,1429.9700088447137,1
750000,1523.512,14.771,1525.8375256049733,1540.327904801717,1504.3719866043198,1
800000,1024.515,1.772,1023.9570226822816,1022.6783180733912,1026.9087708214963,1
900000,1122.118,5.874,1130.3241032534684,1119.1303977843627,1116.8988176449923,1
1000000,1227.810,0.823,1227.1983715929216,1228.973450088833,1227.2574216757882,1
1200000,1454.937,9.468,1441.850731368496,1459.0289821893552,1463.9323524141344,1
1400000,1651.808,7.952,1660.5775501089001,1641.3272761490543,1653.5196240303424,1
1600000,1861.995,16.949,1841.1042032636867,1862.2619565988887,1882.6189755637042,1
1800000,1257.757,14.510,1278.133973331821,1245.4691318784924,1249.6679864578518,1
2000000,1386.259,2.139,1386.7501155284122,1383.4290952077909,1388.5991932236861,1
2200000,1520.816,10.430,1533.556762842393,1520.881813792882,1508.008475027691,1
