n,mean_cost,std,seed0,seed1,seed2
200000,568.239,57.113,514.054,647.205,543.460
250000,727.030,21.950,701.262,724.927,754.903
300000,750.721,59.638,697.635,720.506,834.022
350000,769.173,88.247,655.676,780.973,870.868
400000,861.505,116.968,707.033,887.499,989.984
450000,781.347,48.584,746.235,747.756,850.050
500000,735.724,111.915,598.328,736.383,872.460
550000,796.369,103.662,655.287,832.404,901.417
600000,931.061,68.035,917.239,855.510,1020.434
650000,1036.381,81.264,985.245,972.816,1151.081
700000,1010.537,86.499,899.703,1021.121,1110.787
750000,975.878,141.412,788.858,1130.735,1008.040
800000,1071.594,147.349,870.584,1219.680,1124.518
900000,1039.939,166.682,824.370,1230.318,1065.129
1000000,944.310,207.449,651.630,1108.151,1073.148
1200000,1030.698,284.000,658.272,1086.690,1347.133
1400000,1026.487,143.779,850.687,1202.871,1025.902
1600000,1130.355,208.563,883.187,1393.326,1114.551
1800000,1163.834,156.616,1026.823,1383.051,1081.627
2000000,1262.017,230.896,958.716,1518.434,1308.902
2200000,1343.802,317.334,982.422,1754.937,1294.046
